orig_name,status,duplicate_of,orig_width,orig_height,orig_size_bytes,md5,phash,clean_name,clean_width,clean_height,clean_size_bytes
31.jpg,kept,,770,433,47197,1b1ba2ff460c80f159e0dcdb0777f71b,0x381c1e3f3f3f3300,img_0001.jpg,770,433,52217
6.jpg,kept,,1000,563,433021,2b73a919a507e3c0c72d16662a26dda1,0x101d87a7f3f3e1e,img_0002.jpg,1000,563,277161
7.jpg,kept,,2000,1500,516745,93a5e2e28dd17f78c3d6dac30d06496c,0xd151e0f9d6d8dc6c,img_0003.jpg,1024,768,274038
8.jpg,kept,,768,432,53304,e63f91766e243fcc00c42e56839a6fe2,0xff9f397341100010,img_0004.jpg,768,432,64685
